Station_ID,Temperature_Maximum,Temperature_Minimum,Temperature,Precipitation
99249,0,1,1,0
99357,5,3,8,0
99348,4,2,6,0
99309,0,0,0,0
99306,0,0,0,0
99299,0,0,0,0
99281,0,0,0,0
99276,0,0,0,0
99268,0,1,2,0
99360,0,4,4,0
40788,0,0,1,0
40760,0,1,3,0
99361,0,0,0,0
40737,0,0,0,0
40709,0,0,0,0
40718,0,0,0,0
40759,0,1,1,0
40720,0,0,0,0
40732,0,0,0,0
40719,0,0,0,0
40734,1,0,1,0
40735,0,0,0,0
40736,1,0,1,0
40805,3,3,4,1
99282,6,7,7,4
99272,0,0,0,8
99302,22,13,32,13
99317,122,125,131,120
99308,165,165,165,165
18219,172,172,172,172
99340,173,173,173,173
18245,179,179,179,180
18143,175,175,175,185
