feature,importance_mean,importance_std
GPM_SPEI_1,0.040835753438678166,0.012746043660385996
PCI_GPM,0.027361312952019344,0.011742252747575089
month_sin,0.008770668732779863,0.0080203337143397
lon,0.004426821621679788,0.004710535454251612
LST_Night,0.004358876553807167,0.004250526677264295
VHI_Night,0.003163469536716046,0.004892837431769816
LST,0.0028718748402220885,0.005044608029837965
CI_GPM,0.0027693222270286032,0.003637848967711239
TCI,0.002223623053834933,0.004800982461751866
GPM,0.0019889456505391423,0.010031663111568672
month,0.0,0.0
year,0.0,0.0
SPEI_1_Class,0.0,0.0
LST_Diff,-0.00109745723514586,0.003622767051563125
EVI,-0.0013467261142701137,0.003229574257865816
MOD16A2GF,-0.0018363501541531879,0.005317648501691356
LST_Day,-0.0023799729519275226,0.006047487867755904
month_cos,-0.0030698146310088937,0.005875883074199654
TCI_Night,-0.003797145701983895,0.007193570261836117
VCI,-0.004137313634859041,0.002923908084481229
station_elevation,-0.004642964140084194,0.007597379895738892
TCI_Day,-0.004708430198418811,0.005051386384543475
NDVI,-0.00474241514436149,0.004711228636413239
lat,-0.007456140231733621,0.00553365518938813
VHI_Day,-0.009447337578008442,0.00430222479724076
VHI,-0.00947131829324932,0.005724282630006057
