,precision,recall,f1-score,support
ED,0.2413793103448276,0.5384615384615384,0.3333333333333333,13.0
EW,0.045454545454545456,0.25,0.07692307692307693,4.0
MD,0.22916666666666666,0.171875,0.19642857142857142,64.0
MW,0.36363636363636365,0.375,0.36923076923076925,64.0
NN,0.7531806615776081,0.7728459530026109,0.7628865979381443,383.0
SD,0.3888888888888889,0.1891891891891892,0.2545454545454545,37.0
VW,0.14285714285714285,0.08,0.10256410256410256,25.0
accuracy,0.5898305084745763,0.5898305084745763,0.5898305084745763,0.5898305084745763
macro avg,0.3092233684894347,0.33962452580761976,0.2994159865662075,590.0
weighted avg,0.5893011084749767,0.5898305084745763,0.584764533620029,590.0
