,SVM,RandomForest,MLP
lat,-0.00927940681677395,-0.007456140231733621,0.04157341851062775
lon,0.003453630796670304,0.004426821621679788,0.007632142544333642
station_elevation,-0.008855567836462519,-0.004642964140084194,0.027107030768027285
GPM,0.0036242642953108308,0.0019889456505391423,0.06947248424086475
MOD16A2GF,-0.011702097845603865,-0.0018363501541531879,0.1283417949925789
NDVI,0.0,-0.00474241514436149,0.0
EVI,-0.007300878150667667,-0.0013467261142701137,0.007798446378301116
LST_Day,-0.013329403927010075,-0.0023799729519275226,0.02393171344235926
LST_Night,-0.01215157486800269,0.004358876553807167,0.02482885680261824
LST,-0.012913140140841906,0.0028718748402220885,0.019962379490767936
PCI_GPM,0.007817880394808907,0.027361312952019344,0.0244876063755445
VCI,0.0,-0.004137313634859041,0.0
TCI,-0.02070694703100747,0.002223623053834933,0.026331716819775884
TCI_Day,-0.016427803490339,-0.004708430198418811,0.02412137137337279
TCI_Night,-0.016690666092340534,-0.003797145701983895,0.01912732301318546
VHI,-0.01516318660044048,-0.00947131829324932,0.01273733658236278
VHI_Day,-0.01315434633335184,-0.009447337578008442,0.02841185520195233
VHI_Night,-0.013974073356117,0.003163469536716046,-0.001548011088637269
CI_GPM,-0.005715943415018932,0.0027693222270286032,0.00081613000724291
GPM_SPEI_1,0.0005545313364118786,0.040835753438678166,0.04461907966564225
SPEI_1_Class,0.0,0.0,0.0
month_sin,0.0,0.008770668732779863,0.0
month_cos,-0.005540179013588764,-0.0030698146310088937,0.046613502554279096
year,0.0,0.0,0.0
month,0.0,0.0,0.0
LST_Diff,-0.010018872604213335,-0.00109745723514586,0.02595449515626812
