Station,Index,Scale,Accuracy,Precision,Recall,F1-score
Ramsar,SPEI,1,0.6,0.6149182885768252,0.6,0.6056117163479543
Ramsar,SPEI,3,0.5517241379310345,0.533872859488623,0.5517241379310345,0.5399472875478547
Ramsar,SPEI,6,0.54,0.5328166174621398,0.54,0.5338001412487374
Ramsar,SPEI,9,0.5634517766497462,0.5791989787422193,0.5634517766497462,0.5700085903262452
Ramsar,SPEI,12,0.5309278350515464,0.5209265932035991,0.5309278350515464,0.5233732105775769
Ramsar,SPEI,15,0.45549738219895286,0.46268721396973606,0.45549738219895286,0.45667902038021735
Ramsar,SPEI,18,0.42021276595744683,0.42884934553722087,0.42021276595744683,0.4232457554266065
Ramsar,SPEI,21,0.4648648648648649,0.4865660525737548,0.4648648648648649,0.47418540594025144
Ramsar,SPEI,24,0.44505494505494503,0.4460539460539461,0.44505494505494503,0.4455433455433455
Ramsar,SPI,1,0.6,0.6394791490165754,0.6,0.6119590100077905
Ramsar,SPI,3,0.5911330049261084,0.5918992884510125,0.5911330049261084,0.5904930706774025
Ramsar,SPI,6,0.525,0.5219591503267974,0.525,0.522859011845854
Ramsar,SPI,9,0.5228426395939086,0.4892082536752588,0.5228426395939086,0.5036901562655519
Ramsar,SPI,12,0.4896907216494845,0.44450075616767304,0.4896907216494845,0.4632306764370793
Ramsar,SPI,15,0.5078534031413613,0.4934374838258561,0.5078534031413613,0.4973212452520276
Ramsar,SPI,18,0.46808510638297873,0.4600276220823246,0.46808510638297873,0.463664198159113
Ramsar,SPI,21,0.4864864864864865,0.5194549921822649,0.4864864864864865,0.5023796705071606
Ramsar,SPI,24,0.510989010989011,0.5014792899408285,0.510989010989011,0.5056778500358268
Sari,SPEI,1,0.6439024390243903,0.656088026765129,0.6439024390243903,0.6485498243272161
Sari,SPEI,3,0.6551724137931034,0.6381557610024204,0.6551724137931034,0.6446996697954003
Sari,SPEI,6,0.67,0.6668618745595489,0.67,0.6670148599846073
Sari,SPEI,9,0.5888324873096447,0.5952812415257107,0.5888324873096447,0.5912199788838117
Sari,SPEI,12,0.5824742268041238,0.5965437559399084,0.5824742268041238,0.5886435641164717
Sari,SPEI,15,0.5654450261780105,0.6039640987284965,0.5654450261780105,0.5647931364811212
Sari,SPEI,18,0.5957446808510638,0.6465858159150623,0.5957446808510638,0.5996857023486434
Sari,SPEI,21,0.5891891891891892,0.6310915263089176,0.5891891891891892,0.5966852685250682
Sari,SPEI,24,0.6593406593406593,0.6884586583720087,0.6593406593406593,0.6652919343136734
Sari,SPI,1,0.6487804878048781,0.6501547592585643,0.6487804878048781,0.6391020703155269
Sari,SPI,3,0.6650246305418719,0.6558910711620071,0.6650246305418719,0.6589593858532918
Sari,SPI,6,0.675,0.7057509946007388,0.675,0.6884990777543969
Sari,SPI,9,0.6091370558375635,0.639269035532995,0.6091370558375635,0.6220497525801298
Sari,SPI,12,0.6237113402061856,0.6912133012102196,0.6237113402061856,0.6504926148872487
Sari,SPI,15,0.6020942408376964,0.6105855954947425,0.6020942408376964,0.6057675811336295
Sari,SPI,18,0.648936170212766,0.646198286595823,0.648936170212766,0.6429066620658523
Sari,SPI,21,0.6324324324324324,0.6198198198198198,0.6324324324324324,0.6171888796401682
Sari,SPI,24,0.6208791208791209,0.6195020096182887,0.6208791208791209,0.6172041929315636
Alasht,SPEI,1,0.6,0.6069381550994796,0.6,0.5967275924387376
Alasht,SPEI,3,0.6798029556650246,0.6812387870737614,0.6798029556650246,0.6728875420842895
Alasht,SPEI,6,0.67,0.6674615773115772,0.67,0.6625588764683592
Alasht,SPEI,9,0.6548223350253807,0.6635103119948167,0.6548223350253807,0.6545229887282339
Alasht,SPEI,12,0.654639175257732,0.676424668227947,0.654639175257732,0.661960993259318
Alasht,SPEI,15,0.6230366492146597,0.6084755472070127,0.6230366492146597,0.6069302866109737
Alasht,SPEI,18,0.6436170212765957,0.646071816681374,0.6436170212765957,0.6422020451929886
Alasht,SPEI,21,0.6972972972972973,0.7213618141847807,0.6972972972972973,0.7063048438048437
Alasht,SPEI,24,0.6373626373626373,0.6499763250052435,0.6373626373626373,0.6383562997848712
Alasht,SPI,1,0.6341463414634146,0.635585543884636,0.6341463414634146,0.6344454117072301
Alasht,SPI,3,0.6600985221674877,0.6801653307675951,0.6600985221674877,0.6687663270406623
Alasht,SPI,6,0.72,0.750546195652174,0.72,0.7336357606990425
Alasht,SPI,9,0.6446700507614214,0.6403113262403545,0.6446700507614214,0.6421686361331425
Alasht,SPI,12,0.6701030927835051,0.6524153166421208,0.6701030927835051,0.6570235797039921
Alasht,SPI,15,0.6701570680628273,0.659912751894014,0.6701570680628273,0.6640648853236899
Alasht,SPI,18,0.675531914893617,0.623661677873278,0.675531914893617,0.6454128565453204
Alasht,SPI,21,0.6756756756756757,0.6774568090357563,0.6756756756756757,0.6735746372371234
Alasht,SPI,24,0.7472527472527473,0.7207849331359624,0.7472527472527473,0.7321825774408846
